job_id,skill_abr,skill_name
3690843087,ACCT,Accounting
3690843087,FIN,Finance
3691763971,MGMT,Management
3691763971,MNFC,Manufacturing
3691775263,MGMT,Management
3691775263,MNFC,Manufacturing
3691786992,HCPR,Healthcare
3691789797,MGMT,Management
3691789797,MNFC,Manufacturing
3691789919,HCPR,Healthcare
3691792844,ENG,Engineering
3691792844,IT,Information Technology
3691793575,ADM,Administration
3691794313,ADM,Administration
3691795305,HCPR,Healthcare
3691795389,SALE,Sales
3691795980,IT,Information Technology
3691796226,DSGN,Design
3691796226,ART,Arts
3691796226,IT,Information Technology
3691797249,EDU,Education
3691797249,TRNG,Training
3691797924,ENG,Engineering
3691797924,IT,Information Technology
3691797973,SALE,Sales
3691797973,BD,Business Development
3691797979,ENG,Engineering
3691797979,IT,Information Technology
3691797980,PRJM,Project Management
3691797982,BD,Business Development
3691797982,CNSL,Consulting
3691797982,SALE,Sales
3691798875,SALE,Sales
3691798875,MGMT,Management
3691798875,STRA,Strategy
3691798879,HCPR,Healthcare
3691799449,MGMT,Management
3691799449,MNFC,Manufacturing
3691799471,OTHR,Other
3691799471,RSCH,Research
3691799472,OTHR,Other
3691799474,MGMT,Management
3691799474,GENB,General Business
3691799474,ADM,Administration
3692300220,MGMT,Management
3692300220,MNFC,Manufacturing
3692300361,MRKT,Marketing
3692300361,SALE,Sales
3692300361,ACCT,Accounting
3692300372,STRA,Strategy
3692300372,MGMT,Management
3692300409,MRKT,Marketing
3692301009,ADM,Administration
3692301162,PRJM,Project Management
3692301162,IT,Information Technology
3692301162,CNSL,Consulting
3692301165,MGMT,Management
3692301165,MNFC,Manufacturing
3692301169,LGL,Legal
3692301169,ADM,Administration
3692301171,ADM,Administration
3692301171,PRJM,Project Management
3692301171,BD,Business Development
3692302089,IT,Information Technology
3692303023,IT,Information Technology
3692303024,HCPR,Healthcare
3692303025,MGMT,Management
3692303025,MNFC,Manufacturing
3696352735,OTHR,Other
3696355954,ACCT,Accounting
3696355954,FIN,Finance
3696362362,ENG,Engineering
3696362362,IT,Information Technology
3696368461,PRJM,Project Management
3696368461,SALE,Sales
