work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,Executive Level,Full-Time,Head of Data,348516,United States,On-site,United States,M
2025,Executive Level,Full-Time,Head of Data,232344,United States,On-site,United States,M
2025,Senior Level,Full-Time,Data Scientist,145400,United States,On-site,United States,M
2025,Senior Level,Full-Time,Data Scientist,81600,United States,On-site,United States,M
2025,Mid Level,Full-Time,Engineer,160000,United States,Remote,United States,M
2025,Mid Level,Full-Time,Engineer,140000,United States,Remote,United States,M
2025,Senior Level,Full-Time,AI Product Lead,175000,United States,Remote,United States,M
2025,Senior Level,Full-Time,AI Product Lead,152900,United States,Remote,United States,M
2025,Senior Level,Full-Time,AI Engineer,97900,United States,Remote,United States,M
2025,Senior Level,Full-Time,AI Engineer,89900,United States,Remote,United States,M
2025,Senior Level,Full-Time,Business Intelligence Engineer,180500,United States,On-site,United States,M
2025,Senior Level,Full-Time,Business Intelligence Engineer,113000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Manager,230000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Manager,121000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Computer Vision Engineer,250000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Computer Vision Engineer,220000,United States,On-site,United States,M
2025,Mid Level,Full-Time,AI Engineer,200000,United States,On-site,United States,M
2025,Mid Level,Full-Time,AI Engineer,145000,United States,On-site,United States,M
2025,Mid Level,Full-Time,AI Engineer,265000,United States,Remote,United States,M
2025,Mid Level,Full-Time,AI Engineer,175000,United States,Remote,United States,M
2025,Executive Level,Full-Time,Data Management,219800,United States,Remote,United States,M
2025,Executive Level,Full-Time,Data Management,179500,United States,Remote,United States,M
2025,Senior Level,Full-Time,Product Manager,207000,United States,Remote,United States,M
2025,Senior Level,Full-Time,Product Manager,144200,United States,Remote,United States,M
2025,Senior Level,Full-Time,Data Engineer,200000,United States,Remote,United States,M
2025,Senior Level,Full-Time,Data Engineer,106200,United States,Remote,United States,M
2025,Senior Level,Full-Time,Data Engineer,195300,United States,On-site,United States,M
2025,Senior Level,Full-Time,Data Engineer,149000,United States,On-site,United States,M
2025,Mid Level,Full-Time,Data Engineer,183300,United States,Remote,United States,M
2025,Mid Level,Full-Time,Data Engineer,117000,United States,Remote,United States,M
2025,Senior Level,Full-Time,Data Engineer,213850,United States,Remote,United States,M
2025,Senior Level,Full-Time,Data Engineer,136800,United States,Remote,United States,M
2025,Senior Level,Full-Time,Data Engineer,146550,United States,On-site,United States,M
2025,Senior Level,Full-Time,Data Engineer,101200,United States,On-site,United States,M
2025,Senior Level,Full-Time,Data Engineer,200700,United States,On-site,United States,M
2025,Senior Level,Full-Time,Data Engineer,175800,United States,On-site,United States,M
2025,Executive Level,Full-Time,Data Engineer,275000,United States,On-site,United States,M
2025,Executive Level,Full-Time,Data Engineer,195000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Data Engineer,155000,United States,Remote,United States,M
2025,Senior Level,Full-Time,Data Engineer,93000,United States,Remote,United States,M
2025,Senior Level,Full-Time,Engineer,215000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Engineer,200000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Product Manager,140000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Product Manager,110000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Machine Learning Engineer,223000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Machine Learning Engineer,191000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Machine Learning Engineer,210000,United States,Remote,United States,M
2025,Senior Level,Full-Time,Machine Learning Engineer,106200,United States,Remote,United States,M
2025,Senior Level,Full-Time,Engineer,350000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Engineer,300000,United States,On-site,United States,M
2025,Mid Level,Full-Time,Machine Learning Engineer,150250,United States,On-site,United States,M
2025,Mid Level,Full-Time,Machine Learning Engineer,120000,United States,On-site,United States,M
2025,Mid Level,Full-Time,Machine Learning Engineer,175000,United States,Remote,United States,M
2025,Mid Level,Full-Time,Machine Learning Engineer,130000,United States,Remote,United States,M
2025,Senior Level,Full-Time,Machine Learning Engineer,331200,United States,On-site,United States,M
2025,Senior Level,Full-Time,Machine Learning Engineer,163000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Machine Learning Engineer,240000,United States,Remote,United States,M
2025,Senior Level,Full-Time,Machine Learning Engineer,200000,United States,Remote,United States,M
2025,Mid Level,Full-Time,Machine Learning Engineer,140000,United States,Remote,United States,M
2025,Mid Level,Full-Time,Machine Learning Engineer,117000,United States,Remote,United States,M
2025,Senior Level,Full-Time,Software Engineer,200000,United States,On-site,United States,M
2025,Senior Level,Full-Time,Software Engineer,170000,United States,On-site,United States,M
